A. ZARATE GENERAL HOSPITAL	----->Pulanglupa, Las Piñas City
CHILDREN'S MEDICAL HOSPITAL	----->Calapan City, Oriental Mindoro
CHINESE GENERAL HOSPITAL	----->AND MEDICAL CENTER 286 Blumentritt St. Sta Cruz, Manila
CHONG HUA HOSPITAL	----->Fuente, Osmeña Street,Cebu
CHRISTIAN GENERAL HOSPITAL	----->Pagsanjan, Laguna
CHRIST THE KING	----->GENERAL HOSPITAL 130 Real St., Pamplona Las Piñas City
CICOSAT HOSPITAL	----->Lingsat, San Fernando City La Union
CITY OF CANDON HOSPITAL	----->Nat'l. Hi-way, San Nicolas Candon City, Ilocos Sur
CIUDAD MEDICAL ZAMBOANGA	----->Nunez Ext., Zamboanga City
CLARIN COMMUNITY HOSPITAL	----->Clarin, Bohol
CLARK AIRBASE HOSPITAL	----->Clark Field, Pampanga
CLARK CENTRAL MEDICAL CENTER	----->Anunas, Angeles City, Pampanga
CLAVERIA DISTRICT HOSPITAL	----->Claveria, Masbate
CLINICA ARELLANO	----->GENERAL HOSPITAL 1430 D. Jose, Sta. Cruz, Manila
CLINICA DE LEON	----->Bonifacio Street,Tuguegarao City
CLINICA FELICIANO II	----->Magsaygay Ave., Calinan Davao City
CLINICA GATCHALIAN AND HOSPITAL	----->Ormoc City
CLINICA HENSON	----->Angeles City
CLINICA ISAGUIRRE	----->Calinan, Davao City
CLINICA JESUS NAZARENO	----->Magallanes, Agusan Del Norte
CLINICA LUNTAO AND HOSPITAL	----->Norala, South Cotabato
CLINICA OZARAGA	----->Bonifacio, Misamis Occidental
CLINICA PINEDA	----->Malalag, Davao del Sur
CLINICA RUDINAS & HOSPITAL	----->Hagonoy, Davao del Sur
CLINICA STA. TERESA	----->Malalag, Davao del Sur
CODILLA-RAMOS CLINIC AND HOSPITAL	----->Poblacion Esperanza Sultan Kudarat
COL. DOMINGO A. VALDEZ	----->MEMORIAL HOSPITAL (DASOL MUNICIPAL HOSPITAL) Dasol, Pangasinan
COMMUNITY HEALTH AND	----->DEVELOPMENT COOP. HOSPITAL Anda Riverside, City Proper Davao City
COMMUNITY GENERAL HOSPITAL	----->SAN PABLO CITY, INC. Colago Avenue, San Pablo City
COMMUNITY MEDICAL CLINIC	----->OF BALAGTAS, CO. Burol 1st, Balagtas, Bulacan
COMPOSTELA VALLEY HOSPITAL	----->Compostela, Compostela Valley
COMPOSTELA VALLEY	----->PROVINCIAL HOSPITAL Montevista, Compostela Valley
CONCEPCION DISTRICT HOSPITAL	----->Brgy. Alfonso, Concepcion Tarlac
CONG. LAMBERTO C. MACIAS	----->MEMORIAL HOSPITAL Siaton, Negros Oriental
CONG. NATALIO P. CASTILLO	----->SR. MEMORIAL HOSPITAL Loon, Bohol
CONG. SIMEON G. TORIBIO	----->MEMORIAL HOSPITAL Carmen, Bohol
CONNER DISTRICT HOSPITAL	----->Mabubua, Calafug Conner, Apayao
CONSUELO TAN MEMORIAL	----->MEDICAL CENTER Sogod, Southern Leyte
CONTRERAS MEDICAL CLINIC	----->Rosario, Cavite
CORADO MEDICAL CLINIC	----->AND HOSPITAL # 25 Tandang Sora St., Victory, Norte, Santiago City, Isabela
CORAZON LOCSIN MONTELIBANO	----->MEMORIAL REGIONAL HOSPITAL Lacson St., Bacolod City Negros Occidental
CORON DISTRICT HOSPITAL	----->Brgy. 5, Coron, Palawan
CORPUZ CLINIC AND HOSPITAL	----->Sinait, Ilocos Sur
CORROMPIDO SPECIALTY HOSPITAL	----->Sogod, South Leyte
CORTES MUNICIPAL HOSPITAL	----->Cortes, Surigao del Sur
COTABATO MEDICAL	----->SPECIALIST HOSPITAL Quezon Avenue, CotabatoCity, Maguindanao
COTABATO PROVINCIAL HOSPITAL (IPHO)	----->Armas, Kidapawan North Cotabato
COTABATO PUERRICULTURE CENTER	----->AND GENERAL HOSPITAL Don Rufino Alonzo St. Cotabato City, Maguindanao
COTABATO REGIONAL HOSPITAL	----->AND MEDICAL CENTER Rosary Heights, Cotabato City
COTABATO SANITARIUM HOSPITAL	----->S.K. Maguindanao, Cotabato City
CRISOSTOMO GENERAL HOSPITAL	----->Bacoor, Cavite
CRISTINO PARAGAS MEMORIAL	----->COMMUNITY HOSPITAL Quinipot, Zamboanga City
CRUZ-DALIDA MATERNITY	----->HOSPITAL, INC. F. Salvador Ave., Jordan Plains Subd. Brgy. Sta. Monica Novaliches, Quezon City
CRUZ RABE GENERAL HOSPITAL	----->37 Gen. Luna St., Tuktukan Taguig City
CRUZADO MEDICAL CLINIC	----->HOSPITAL AND PHARMACY Pikit, Northern Cotabato
CUARTERO GENERAL HOSPITAL	----->Navales St., Tandag Surigao del Sur
CUISON HOSPITAL, INC.	----->(formerly Cuison Family Clinic Hospital) Dagupan City
CULASI DISTRICT HOSPITAL	----->Culasi, Antique
CULION SANITARIUM	----->Culion, Palawan
CUYO DISTRICT HOSPITAL	----->Cuyo, Catadman, Palawan City
D.B.B. MUNICIPAL HOSPITAL	----->DBB, Dasmariñas Cavite
D.H. POLINTAN MEDICAL CLINIC	----->Poblacion, Macabebe, Pampanga
D.O. PLAZA MEMORIAL HOSPITAL	----->Patin-ay, Agusan del Sur
D. T. PROTACIO HOSPITAL	----->484 Quirino Ave., Tambo Street, Parañaque City
DAANBANTAYAN DISTRICT HOSPITAL	----->Daanbantayan, Cebu
DAGUPAN DOCTORS VILLAFLOR	----->MEMORIAL HOSPITAL Dagupan City
DAGUPAN ORTHOPEDIC CENTER	----->Tapuac District, Dagupan City
DANAO DISTRICT HOSPITAL	----->Danao, Cebu
DANAO MOTHER AND CHILD HOSPITAL	----->National Rd. Danao City
DANAO SALE MEDICAL CLINIC	----->Sta. Clara, Naga Zamboanga Sibucay
DANIEL MERCADO MEDICAL	----->CENTER (formerly Mercado Gen. Hosp.) Tanauan, Batangas
DATU BLAH T. SINSUAT DISTRICT	----->HOSPITAL UPI, Maguindanao
DATU HALUN SAKILAN	----->MEMORIAL HOSPITAL Bongao, Tawi-Tawi
DAVAO ADVENTIST HOSPITAL	----->Km. 7, McArthur Hi-way Bangkal, Davao City
DAVAO DEL SUR PROVINCIAL	----->HOSPITAL Digos, Davao del Sur
DAVAO DOCTORS HOSPITAL	----->Quirino Avenue, Davao City
DAVAO MEDICAL SCHOOL	----->FOUNDATION - HOSPITAL Bajada, Davao City
DAVAO MEDIQUEST HOSP. INC.	----->Toril, Davao City
DAVAO ORIENTAL PROVINCIAL	----->HOSPITAL Mati, Davao Oriental
DAVAO REGIONAL HOSPITAL	----->Apokon, Tagum City Davao del Norte
DAYOS-PASCUAL MEDICAL CLINIC	----->Roxas, Isabela
DE CASTRO HOSPITAL	----->FOUNDATION, INC. Milagros, Masbate
DE JESUS GENERAL HOSPITAL	----->5B. Aquino Ave. Baliuag, Bulacan
DE OCAMPO MEMORIAL MEDICAL CENTER	----->2921 Nagtahan Street Sta. Mesa, Manila
DE VERA'S MEDICAL CENTER	----->Santiago City, Isabela
DECENA GENERAL HOSPITAL	----->(formerly DECENA MEDICAL CLINIC) Bonuan, Dagupan City, Pangasinan
DEE HWA LIONG FOUNDATION	----->MEDICAL CENTER - ANGELES BRANCH Henson St., Brgy. Agapito del Rosario, Angeles City
DEIPARINE MEDICAL CLINIC	----->Sibonga, Cebu
DEL CARMEN DISTRICT HOSPITAL	----->Del Carmen, Surigao del Norte
DEL CARMEN MEDICAL CLINIC	----->Calauag, Quezon
DEL CARMEN MEDICAL CLINIC	----->AND HOSPITAL Carmen, Rosales, Pangasinan
DEL MONTE BUGO CLINIC	----->Bugo, Cagayan de Oro City
DELA CERNA MEDICAL CLINIC	----->Buhangin, Davao City
DELA CRUZ MATERNITY HOSPITAL	----->#910 Crescini St., Caridad Cavite City
DELA SALLE UNIVERSITY	----->MEDICAL CENTER Bagong Bayan, Dasmarinas Cavite
DELA SALLE UNIVERSITY- DR.	----->RODOLFO POBLETE MEM. HOSP. Burgos St., Alfonso, Cavite
DELBERT JON'S POLYCLINIC	----->Pob. Kapatagan, Lanao del Norte
DELFIN ALBANO COMMUNITY HOSPITAL	----->Delfin Albano, Isabela, Cagayan Valley
DELOS SANTOS - STI MEDICAL CENTER	----->201 E. Rodriguez Sr., Blvd. Quezon City
DELOS REYES MEDICAL CLINIC	----->Pinamalayan, Oriental Mindoro
DEMANO'S MEDICAL AND	----->PEDIATRIC CLINIC Ramon, Isabela
DENNIS MOLINTAS MUNICIPAL	----->HOSPITAL Daclan, Bokod, Benguet
DETECIO COMMUNITY HOSPITAL	----->Malay-balay City, Bukidnon
DIFFUN DISTRICT HOSPITAL	----->Diffun, Quirino
DIGNUM FOUNDATION	----->HOSPITAL INC. Langcangan, Oroquieta City Misamis Occidental
DIGOS DOCTOR'S HOSP., INC.	----->Digos, Davao del Sur
DIHMESCO GENERAL HOSPITAL	----->(formerly Divine Heart Medical Services Dev't Coop.) 215 Gen. Luis St., Novaliches Quezon City
DIMIAO MUNICIPAL INFIRMARY	----->Nat'l. Hi-way, Pob., Dimiao, Bohol
DINAGAT DISTRICT HOSPITAL	----->Dinagat, Surigao del Norte
DINAIG MUNICIPAL HOSPITAL	----->Dalican, Maguindanao
DINGRAS DISTRICT HOSPITAL	----->Bo. Suyo, Dingras, Ilocos Norte
DIONES HOSPITAL	----->Sulop, Davao del Sur
DIOSDADO P. MACAPAGAL	----->MEMORIAL HOSPITAL (formerly Pampanga Provincial Hospital) Sta. Rita-Guagua, Pampanga
DIPOLOG MEDICAL CENTER, INC.	----->Dipolog City, Zamboanga
DIVINE CARE HOSPITAL	----->MULTI SERVICES CORP Nar'l. Hi-way Sico II, San Juan Batangas
DIVINE GRACE MEDICAL CENTER	----->(formerly DIVINE GRACE HOSPITAL AND MATERNITY CENTER) Rosario, Cavite Bypass Rd., Bacao, Tejero Gen. Trias, Cavite
DIVINE LOVE GENERAL HOSPITAL	----->Lipa City, Batangas
DIVINE MERCY FOUNDATION OF	----->URDANETA HOSPITAL Urdaneta City, Pangasinan
DIVINE MERCY HOSPITAL	----->Mac Arthur Hi-way Anupul, Bamban, Tarlac
DIVINE MERCY HOSPITAL	----->San Pedro, Laguna
DIVINE WORD HOSPITAL	----->Hagonoy, Bulacan
DIVINE WORD HOSPITAL	----->Avenida Veteranos Tacloban City
DIZON MEDICAL CLINIC & HOSPITAL	----->J. P. Laurel St., Kidapawan City
DOLORES MEDICARE AND	----->COMMUNITY HOSPITAL Dolores, Abra
DOLORES MUNICIPAL HOSPITAL	----->Dolores, Eastern Samar
DOMINGO CASANO HOSPITAL	----->Dolores, Eastern Samar
DOMINICAN HOSPITAL, INC.	----->Quezon Avenue, Digos City Davao del Sur
DON CIRIACO S.TIROL SR.	----->MEMORIAL HOSPITAL Boracay Island, Malay, Aklan
DON EMILIO DEL VALLE	----->MEMORIAL HOSPITAL Ubay, Bohol
DON JOSE S. MONFORT MEDICAL	----->CENTER EXT. HOSPITAL Barotac, Nuevo Iloilo
DON JUAN MAYUGA	----->MEMORIAL HOSPITAL Lemery, Batangas
DON LEOVIGILDO DIAPO SR.	----->MUNICIPAL HOSPITAL Madalag, Aklan
DON MANUEL LOPEZ MEMORIAL	----->DISTRICT HOSPITAL Balayan, Batangas
DON MARIANO C. VERZOSA	----->MEMORIAL HOSPITAL (former Lingayen District Hosp.) V. Solis St., Lingayen, Pangasinan 20
DON MODESTO FORMILLEZA	----->SR. MEMORIAL HOSPITAL Punta, Looc, Romblon
DON RAMON TUGBANG	----->MEDICAL CENTER (formely Barotac Viejo Medical Center Inc.) Zulueta Drive, Barotac Viejo, Iloilo
DON SALVADOR BENEDICTO	----->MEMORIAL DISTRICT HOSPITAL La Carlota City, Negros Occ.
DON SANTIAGO A. NAHIAL SR.	----->MEMORIAL HOSPITAL Dinas, Zamboanga Del Sur
DON VALERIO PALMARES, SR.	----->MEMORIAL DISTRICT HOSPITAL Alfelor St., Passi City, Iloilo
DOÑA JOSEFA EDRALIN	----->MARCOS DISTRICT HOSPITAL Marcos, Ilocos Norte
DOÑA MARIA D. TAN	----->MEMORIAL HOSPITAL Baybay Mantio, Tangub City Misamis Occidental
DONA MARTA MEMORIAL	----->DISTRICT HOSPITAL Atimonan, Quezon
DONSOL DISTRICT HOSPITAL	----->Donsol, Sorsogon
DR. A. P. ZANTUA GE. HOSPITAL	----->Virac, Catanduanes
DR. ADOLFO O. FLORES	----->MEMORIAL HOSPITAL Villasis, Santiago City
DR. ALBERTO M. PASTOR	----->HOSPITAL Salawagan, Quezon, Bukidnon
DR. AMADO DIAZ PROVINCIAL	----->FOUNDATION HOSPITAL Midsayap, North Cotabato
DR. AMANDO D. COPE	----->MEMORIAL HOSPITAL Tabaco, Albay
DR. AMANDO L. GARCIA MEDICAL	----->CENTER 648 Rizal St., Angeles City
DR. ANTONIO RANADA	----->LYING-IN AND HOSPITAL Brgy. 7-A Hernadez Ave. Laoag City
DR. APOLLO DUQUE MEMORIAL	----->HOSPITAL Cabiao, Nueva Ecija
DR. ATANACIO T. DAYRIT, JR.	----->MEDICAL HOSPITAL Centro, Cabatuan, Isabela
DR. B.G. DONASCO MEDICAL	----->CLINIC & HOSPITAL 27 Brgy. Paciano, Rizal, Calamba City, Laguna
DR. BERNARDO B. CORRAL	----->MEMORIAL HOSPITAL (former St. Claire Medical Clinic) Tiwi, Tabaco City
DR. BONIFACIA V. ALBANO	----->MEMORIAL HOSPITAL Bacarra, Ilocos Norte
DR. DAMIAN REYES . H. HOSPITAL	----->(formerly Marinduque Provincial Hospital) Boac, Marinduque
DR. EMIGDIO C. CRUZ SR.	----->MEMORIAL HOSPITAL San Agustin, Arayat, Pampanga
DR. ERLINDA B. ESTANISLAO	----->MEMORIAL HOSPITAL Pio Duran, Albay
DR. ERLINDA P. TOLENTINO	----->MEDICAL CLINIC & HOSPITAL Unisan, Quezon
DR. ERVIN B. LUNTAO FAMILY	----->CLINIC AND HOSPITAL National Hi-way, Pob. Sto Nino South Cotabato
DR. ESTEBAN V. ANTE	----->MEMORIAL HOSPITAL Rizal St., Legazpi City
DR. ESTER GARCIA GENERAL	----->HOSPITAL San Fermin, Cauayan City, Isabela
DR. FE DEL MUNDO MEDICAL	----->CENTER FOUNDATION PHILS. 11 Banaue Street, Quezon City
DR. EUTIQUIO LL. ALANACIO JR.	----->MEMORIAL HOSPITAL (formerly Sta. Rita Hospital)
DR. FERNANDO B. DURAN SR.	----->MEMORIAL HOSPITAL Macabog, Sorsogon
DR. GLORIA D. LACSON	----->GEN. HOSPITAL San Leonardo, Nueva Ecija
DR. GREGORIO B. TAN	----->MEMORIAL HOSPITAL Laoang, Northern Samar
DR. GUMERSINDO GARCIA SR.	----->MEMORIAL HOSPITAL Kabankalan City, Negros Occ.
DR. HENRY M. DE VILLA	----->MEMORIAL HOSPITAL (former St. Joseph Clinic) Ipil, Zamboanga Sibugay
DR. HERNAN SORONGON SR. HOSPITAL	----->M'lang, North Cotabato
DR. IGNACIO M. CORTEZ	----->GENERAL HOSPITAL Mandaue City, Cebu
DR. ILDEFONSO ALCANTARA	----->MEMORIAL HOSPITAL Dalaguete, Cebu
DR. JANET TUMOLVA	----->LUSUNG MEDICAL CLINIC AND LYING-IN Delfin Albano, Isabela
DR. JESUS C. DELGADO	----->MEMORIAL HOSPITAL 7 Kamuning Road, Qeuzon City
DR. JOSE FABELLA MEMORIAL HOSPITAL	----->Lope de Vega St., Sta. Cruz, Manila
DR. JOSE R. REYES MEMORIAL	----->MEDICAL CENTER Rizal Avenue, Sta. Cruz, Manila
DR. JOSE P. RIZAL MEMORIAL	----->DISTRICT HOSPITAL Bucal, Calamba, Laguna
DR. JOSE RIZAL MEMORIAL HOSPITAL	----->Dapitan City, Zamboanga del Norte
DR. JOSE N. RODRIGUEZ	----->MEMORIAL HOSPITAL Tala, Caloocan City
DR. JOSE MA. V. BORROMEO	----->MEMORIAL HOSPITAL Pandacan, Pinamungahan, Cebu
DR. JOSE MA. TORRES MEMORIAL	----->FOUNDATION HOSP., INC. Lamitan, Basilan
DR. LIM'S CLINIC AND HOSPITAL	----->Valencia, Bohol
DR. LORENZO B. PRINCIPE	----->CLINIC AND DRUGSTORE Calinan, Davao del Sur
DR. LUIS P. MALALUAN HOSPITAL	----->Poblacion, Kidapawan North Cotabato
DR. MANUEL R. REBUENO	----->MEMORIAL HOSPITAL Oas, Albay
DR. MANUEL VELOSO	----->MEMORIAL HOSPITAL Palompon, Leyte
DR. MARCELO M. CHAN	----->MEMORIAL HOSPITAL Carmen,Rosales, Pangasinan
DR. MARIO D. BEJASA	----->GENERAL HOSPITAL Bauan, Batangas
DR. MIGUEL V. ALEGRE	----->HOSPITAL Labo, Camarines Norte
DR. MIRANDO C. UNCIANO	----->SR. MEDICAL CENTER V. Mapa St., Sta. Mesa Manila
DR. MONTANO G. RAMOS HOSPITAL	----->46 Bukidnon St., Bago Bantay Quezon City
DR. MONTANO G. RAMOS	----->HOSPITAL Mindanao Avenue Bahay Toro, Quezon City
DR. NILO O. ROA MEMORIAL	----->FOUNDATION HOSPITAL Naga City
DR. NOEL DE LEON	----->MATERNITY CLINIC Vira, Roxas, Isabela
DRA. OLIVIA SALAMANCA	----->MEMORIAL DISTRICT HOSPITAL Gomez St., Cavite
DR. PABLO O. TORRE SR.	----->MEMORIAL HOSPITAL Sen. B. Aquino Drive Bacolod City, Negros Occidental
DR. PAULINO J. GARCIA MEMORIAL	----->RESEARCH & MEDICAL CENTER Mabini St., Cabanatuan City, Nueva Ecija
DR. PETRONILO V. SEARES	----->SR. , MEMORIAL HOSPITAL Penarubia St., Bangued, Abra
DR. RAFAEL S. TUMBOKON	----->MEMORIAL PROVINCIAL HOSPITAL Kalibo, Aklan
DR. RAMON B. LEGASPI SR.	----->MEMORIAL HOSPITAL Makato, Aklan
DR. RICARDO S. PROVIDO SR.	----->MEMORIAL DISTRICT HOSPITAL Calinog, Iloilo City
DR. RICARDO Y. LADRIDO	----->MEMORIAL HOSPITAL Ladrido St., Lambunao, Iloilo
DR. ROBOSA HOSPITAL	----->Baao, Camarines Sur
DR. ROLAND P. DELA	----->CRUZ MEMORIAL HOSPITAL National Hi-way, Midsayap North Cotabato
DR. ROMEO ISANA ROSALES	----->GENERAL HOSPITAL Brgy. Road Pob., P. Garcia Batangas
DR. SABILI GENERAL HOSPITAL	----->AND HEALTH SERVICES 313 Gen. Santos Ave. L. Bicutan, Taguig
DR. SERAPIO M. MONTANER JR.	----->AL-HAJ PROVINCIAL HOSPITAL Malabang, Lanao del Sur
DR. SOFRONIO B. GARCIA	----->MEMORIAL HOSPITAL Ligao City, Albay
DR. TOMAS L. NOLASCO SR.	----->MEMORIAL HOSPITAL Centro Gatarao, Gattaran Cagayan Valley
DR. UY HOSPITAL, INC.	----->19 Roxas Ave., Iligan City Lanao del Norte
DR. VICTOR POTENCIANO	----->MEDICAL CENTER 163 Edsa, Mandaluyong City
DR. VICTOR S. VILLAROMAN	----->MEMORIAL HOSPITAL Burgos St., Ilagan, Isabela
DR. YANGA'S HOSPITAL, INC.	----->Poblacion, Bocaue, Bulacan
DRA. ARACELI D. MENDOZA	----->MEMORIAL MEDICAL CLINIC (formerly Holy Family Medical Clinic) 24 Int. C.M Recto Ave. Lipa City
DRA. OLIVIA SALAMANCA	----->MEMORIAL DISTRICT HOSPITAL P. Gomez St., Cavite City
DRAZEN MEDICAL HOSPITAL	----->Sinacaban, Misamis Occidental
DUAY HOSPITAL	----->Brgy. Tolosa, Cabadbaran Agusan del Norte
DUBONGCO'S MEDICAL CLINIC	----->Rosero St., Masbate City
DUMANGAS DISTRICT HOSPITAL	----->Dumangas, Iloilo
DUAY HOSPITAL	----->Brgy. Tolosa, Cabadbaran Agusan Del Norte
DUBONGCO'S MEDICAL CLINIC	----->Rosero St., Masbate City
DUMANGAS DISTRICT HOSPITAL	----->Dumangas, Iloilo
DUMDUM MEDICAL CLINIC	----->Balamban, Cebu
DUMLAO HOSPITAL	----->Roxas, Isabela
DUPAX DISTRICT HOSPITAL	----->Dupax del Norte, Nueva Viscaya
DUQUE GENERAL HOSPITAL	----->San Juan, Batangas
E.B. MERCADO MEDICAL CLINIC	----->Kapatagan, Davao Del Sur
E.D. LIM MATERNITY AND	----->GENERAL HOSPITAL Apalit, Pampanga
E.L. JOSON MEMORIAL HOSPITAL	----->Cabanatuan City
E & R HOSPITAL & PHARMACY	----->Bo. C. Labao Ext., Iligan City
E.S. GARCIA HOSPITAL	----->170 Malusak St., Sta Ana Bulacan, Bulacan
E. ZARATE HOSPITAL	----->Talon, Las Piñas City
EAST AVENUE MEDICAL	----->CENTER East Avenue, Quezon City
EASTERN BICOL	----->MEDICAL CENTER Virac, Catanduanes
EASTERN PANGASINAN	----->DISTRICT HOSPITAL Tayug, Pangasinan
EASTERN SAMAR PROVINCIAL	----->HOSPITAL Borongan, Eastern Samar
EASTERN VISAYAS REGIONAL	----->MEDICAL CENTER R. Magsaysay Blvd. Tacloban City, Northern Leyte
ECHAGUE DISTRICT HOSPITAL	----->(PRIMO GAFFUD DIST. HOSP.) Ipil Echague, Isabela
ED AND TITA CRUZ MATERNITY	----->AND SURGICAL HOSPITAL Bagbaguin, Sta. Maria, Bulacan
EDIBORAH T. YAP MEMORIAL	----->HOSPITAL Lamitan, Basilan
EDWIN ANDREW'S AIRBASE	----->HOSPITAL Sta. Maria, Zamboanga City
ELEUTERIO T. DECENA	----->MEMORIAL HOSPITAL Bacuyangan, Hinobaan, Negros Occidental
ELGUIRA GENERAL HOSPITAL	----->Rizal Ave., San Carlos City Pangasinan
ELVIN U. MASIGAN INTEGRATED	----->MEMORIAL HOSPITAL Sta. Maria, Isabela
EMIL JOANNA GENERAL	----->HOSPITAL 147 Quezo St., Atimonan, Quezon
EMILIO AGUINALDO COLLEGE	----->MEDICAL CENTER - CAVITE Brgy. Salitran II Dasmarinas Cavite
EMILIO G. PEREZ MEMORIAL	----->HOSPITAL Sto. Niño, Hagonoy, Bulacan
EMMANUEL HOSPITAL	----->San Jose, San Miguel, Bulacan
ENGLEWOOD HOSPITAL	----->Tagbilaran City
ERMAVI HOSPITAL	----->Kibawe, Bukidnon
ERNESTO GUADALUPE MEDICAL	----->CLINIC AND LABORATORY Daliao, Toril, Davao City
ESCOLASTICA ROMERO	----->DISTRICT HOSPITAL San Nicolas 1st., Lubao Pampanga
ESPERANZA MEDICARE	----->COMMUNITY HOSPITAL Esperanza, Agusan del Sur
ESPINOZA-ROSARIO HOSPITAL	----->Malasiqui, Pangasinan
ESPIRITU MEDICAL CLINIC	----->AND HOSPITAL Sto. Tomas, Davao Del Norte
ESTACION MEDICAL CLINIC	----->AND HOSPITAL Malita, Davao del Sur
ESTELA MEDICAL CLINIC	----->AND PHARMACY Sto. Tomas, Davao del Norte
ESTEVEZ MEMORIAL HOSP., INC.	----->Legaspi City
ESTHER HOSPITAL	----->Pob. Highway, Valencia City Bukidnon
ESTRELLA HOSPITAL	----->Aguin H-way, Silang, Cavite
EUSER MEDICAL HOSPITAL	----->Tambulig, Zamboanga del Sur
EUSTAQUIO MEDICAL AND	----->OB-GYNE MEDICAL CLINIC Plazang Luma, Arayat, Pampanga
EVANGELISTA MEDICAL CLINIC	----->AND HOSPITAL Lambayong, Sultan Kudarat
EVANGELISTA MEDICAL AND	----->SPECIALTY HOSPITAL San Pedro, Laguna
EVERSLEY CHILDS SANITARIUM	----->Mandaue City
F. DAGOHOY MUNICIPAL HOSPITAL	----->Inabanga, Bohol
F.E.U. - NICANOR REYES MEDICAL	----->FOUNDATION MEDICAL CENTER Regalado Ave., Fairview, Quezon City
F & P HERNANDEZ MATERNITY	----->AND LYING-IN CLINIC McArthur Highway, Valenzuela City
F. Y. MANALO MEDICAL	----->FOUNDATION, INC. NEW ERA GEN. HOSPITAL Commonwealth Ave., cor Tandang Sora, New Era Quezon City
FAIRVIEW GENERAL HOSPITAL	----->L20 cor. Mercury Street Quezon City
FAITH HOSPITAL	----->Ozamis City
FAMILY CARE HOSPITAL, INC.	----->San Pedro, Laguna
FAMILY MEDICAL CLINIC	----->#4 Caramcam District, Mangagoy Bislig City, Surigao del Sur
FANLO MEDICAL CLINIC	----->Malita, Davao del Sur
FAR NORTH LUZON GEN.	----->HOSP. & TRAINING CENTER Pob. Luna, Apayao
FATIMA UNIVERSITY MEDICAL	----->CENTER, INC. 120 McArthur Highway Valenzuela City
FEDERICO ROMAN TIRADOR SR.	----->MEMORIAL DISTRICT HOSPITAL Janiuay, Iloilo
FELIPE ABRIGO MEMORIAL	----->HOSPITAL Guiuan, Eastern Samar
FERNANDO AIR BASE HOSPITAL	----->Lipa City, Batangas
FIGUERRES CLINIC & HOSPITAL	----->Vigan, Ilocos Sur
FIRST FILIPINO SAINT HOSPITAL	----->(SAN LORENZO RUIZ) Brgy. San Roque, Naic, Cavite
FLORA DISTRICT HOSPITAL	----->Flora, Apayao
FLORDELIZ MEDICAL CLINIC	----->Mawab, Campostela Valley
FLORANTE V. BERNABE, SR.	----->MEMORIAL HOSPITAL Quirino Ave., La Huerta Paranaque City
FORT BONIFACIO GENERAL HOSPITAL	----->Fort Andres Bonifacio Makati City
FORT DEL PILAR STATION HOSPITAL	----->PMA, Fort Del Pilar Baguio City
FORT MAGSAYSAY ARMY	----->STATION HOSPITAL 7th Infantry Division, Phil. Army Fort Ramon Magsaysay Palayan City, Nueva Ecija
FR. GERRY FILIPPETTO MEMORIAL	----->FOUNDATION HOSPITAL Sta Cruz, Cagayan
FR. TULIO FAVALI MUNICIPAL	----->HOSPITAL Tulunan, North Cotabato
FRANCISCO GENERAL HOSPITAL	----->Urdaneta City, Pangasinan
FRANCO MEDICAL CLINIC	----->AND HOSPITAL Trento, Agusan Del Sur
G. GONZALES MEDICAL CLINIC	----->Tiwi, Albay
G.M.A. MEDICARE HOSPITAL	----->G.M.A., Cavite
GABALDON MEDICARE	----->COMMUNITY HOSPITAL Gabaldon, Nueva Ecija
GABRIELA SILANG GENERAL	----->HOSPITAL Tamag, Vigan, Ilocos Sur
GALINATO FAMILY CLINIC & HOSPITAL	----->Guyabano St., Kalawag II Isulan, Sultan Kudarat
GAMAY DISTRICT HOSPITAL	----->Gamay, Northern Samar
GAMBALAN HOSPITAL	----->San Antonio Delfin, Albano, Isabela 8
GAMEZ HOSPITAL	----->218 J. P. Rizal St., Calamba Laguna
GANDARA DISTRICT HOSPITAL	----->Gandara, Western Samar
GAOAT GENERAL HOSPITAL	----->Brgy. 11 Ben Agan, Batac Ilocos Norte
GAPAN DISTRICT HOSPITAL	----->Bayanihan, Gapan, Nueva Ecija
GARCHITORENA MEDICARE	----->COMMUNITY HOSPITAL Garchitorena, Camarines Sur
GARCIA GENERAL HOSPITAL	----->49 B. Bayanan Ave. Concepcion, Marikina City
GARCIA MEMORIAL PROVINCIAL	----->HOSPITAL Talibon, Bohol
GAT ANDRES BONIFACIO	----->MEMORIAL MEDICAL CENTER Delpan St., Tondo, Manila
GATA GENERAL HOSPITAL	----->Guinobatan, Albay
GATTARAN EMERGENCY HOSPITAL	----->Calaoagan, Dakkel, Cagayan
GEMARINO HOSPITAL	----->Diplahan, Zamboanga Sibugay
GEN. EMILIO AGUINALDO	----->MEMORIAL HOSPITAL Luciano, Trece Martires City, Cavite
GEN. J. CAILLES MEMORIAL HOSPITAL	----->Tavera, Pakil, Laguna
GEN. MAC ARTHUR MUNICIPAL	----->HOSPITAL Gen. MacArthur, Eastern Samar
GEN. MIGUEL MALVAR MEDICAL	----->FOUNDATION HOSPITAL 531 Commonwealth, Quezon City
GEN. SANTOS CITY HOSPITAL	----->Gen. Santos City, South Cotabato
GEN. TINIO MEDICARE AND	----->COMMUNITY HOSPITAL General Tinio, Nueva Ecija
GEN. TRIAS MATERNITY AND	----->PEDIATRIC HOSPITAL Gen. Trias, Cavite
